"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"16010540"	"160级金装宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"1"	"1"	"开启后随机获得一件160级金色装备"	"OnItemUse_UseTreasureBox,6010540,1,0,0"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件160级金色装备"	""	""	""	""	
"16010630"	"200级紫装宝箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"1"	"1"	"开启后随机获得一件200级紫色装备"	"OnItemUse_UseTreasureBox,6010630,1,0,0"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级紫色装备"	""	""	""	""	
"16010640"	"200级金装宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"1"	"1"	"开启后随机获得一件200级金色装备"	"OnItemUse_UseTreasureBox,6010640,1,0,0"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级金色装备"	""	""	""	""	
"16020100"	"粗糙的工具箱"	"ui_qiandao_png,box1_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件160级金色装备"	""	""	""	""	
"16020200"	"精致的补给箱"	"ui_qiandao_png,box2_get"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级紫色装备"	""	""	""	""	
"16020300"	"神秘的银宝箱"	"ui_qiandao_png,box3_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件160级金色装备"	""	""	""	""	
"16020400"	"遗失的鎏金箱"	"ui_qiandao_png,box4_get"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级紫色装备"	""	""	""	""	
"16020500"	"闪光的金宝箱"	"ui_qiandao_png,g_box1_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级金色装备"	""	""	""	""	
"16030100"	"一箱铜币"	"ui_qiandao_png,g_box1_get"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"1"	"1"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"1"	"0"	"1"	""	""	""	""	""	""	"开启后随机获得一件200级金色装备"	""	""	""	""	
"18100001"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100001,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100002"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100002,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100003"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100003,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100004"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100004,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100005"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100005,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100006"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100006,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100007"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100007,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100008"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100008,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100009"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100009,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100010"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100010,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100012"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100012,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100014"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100014,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100016"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100016,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100018"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100018,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100020"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100020,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100022"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100022,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100024"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100024,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100026"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100026,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100028"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100028,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100030"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100030,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100035"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100035,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100040"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100040,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100045"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100045,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100050"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100050,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100060"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100060,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100070"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100070,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100080"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100080,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100090"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100090,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100100"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100100,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100120"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100120,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100140"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100140,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100160"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100160,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100180"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100180,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100200"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100200,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100220"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100220,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100240"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100240,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100260"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100260,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100280"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100280,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100300"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100300,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100350"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100350,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100400"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100400,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100450"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100450,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100500"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100500,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100600"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100600,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100700"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100700,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100800"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100800,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18100900"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8100900,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18101000"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8101000,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18101200"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8101200,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18101400"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8101400,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18101600"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8101600,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18101800"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8101800,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18102000"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8102000,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18102200"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8102200,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18102400"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8102400,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18102600"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8102600,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18102800"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8102800,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18103000"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8103000,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18103500"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8103500,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18104000"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8104000,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18104500"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8104500,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"18105000"	"侍从寻宝奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"2"	""	"OnItemUse_UseTreasureBox,8105000,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"副本掉落"	""	""	""	""	
"21031000"	"紫色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"3"	"7"	"1"	"100"	"1"	"1"	"[white]可能获得[purple]紫色品质[white]的[purple]武器、头盔、衣服、肩甲、腰带、裤子、战靴、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041000"	"金色装备"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"[white]可能获得[gold]金色品质[white]的[gold]武器、头盔、衣服、肩甲、腰带、裤子、战靴、项链、护腕、左戒、右戒、饰品"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041001"	"武器"	"item_equip,equip_20801301"	"210101"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的武器"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041002"	"头盔"	"item_equip,equip_20801102"	"210201"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的头盔"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041003"	"衣服"	"item_equip,equip_20801103"	"210301"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的肩甲"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041004"	"肩甲"	"item_equip,equip_20801004"	"270401"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的肩甲"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041005"	"腰带"	"item_equip,equip_20801005"	"270501"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的腰带"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041006"	"裤子"	"item_equip,equip_20801006"	"270601"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的裤子"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"21041007"	"战靴"	"item_equip,equip_20801007"	"270701"	"3"	"1"	"1"	"4"	"7"	"1"	"100"	"1"	"1"	"金色品质的战靴"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
