"装备ID"	"装备说明，策划注释用，不读"	"指定需求部件1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品"	"区域底图及升阶提示暗/亮"	"阶段图标"	"属性1类型ID"	"属性1取值"	"属性1最小值"	"属性1最大值"	"属性2类型ID"	"属性2取值"	"属性2最小值"	"属性2最大值"	"属性3类型ID"	"属性3取值"	"属性3最小值"	"属性3最大值"	"低级道具"	"低级道具数量"	"中级道具"	"中级道具数量"	"高级道具"	"高级道具属性"	"固定属性指向EquipExttendEffect索引ID"	"属性1取值"	"固定属性2"	"属性2取值"	"固定属性3"	"属性3取值"	"固定属性4"	"属性4取值"	"固定属性5"	"属性5取值"	"固定属性6"	"属性6取值"	"固定属性7"	"属性7取值"	"固定属性8"	"属性8取值"	"固定属性9"	"属性9取值"	"固定属性10"	"属性10取值"	"附加属性品质等级(对应ItemEquipExtendRandom表）"	"附加属性条数"	"使用等级修正区间，固定装填0,0"	"物品等级修正区间，固定装填0,0"	"装备出未鉴定几率10000为100%品质和等级判断通过后，出现未鉴定的几率"	"附加属性生成规则，0为全随机1为全固定2为半固定时装必须1"	"魂链生成几率白，蓝，紫，金，橙"	"魂集合：绿=1白=2蓝=4紫=8黄=16橙=32红=64"	"额外魂几率"	"指定自身魂印"	"指定自身魂链"	"指定需求魂印"	
"9006"	"100级左戒指"	"10"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"16"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9007"	"120级左戒指"	"10"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"16"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9008"	"140级左戒指"	"10"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"16"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9009"	"160级左戒指"	"10"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"16"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9010"	"180级左戒指"	"10"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"16"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9011"	"200级左戒指"	"10"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"16"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9012"	"220级左戒指"	"10"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"16"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9013"	"240级左戒指"	"10"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"16"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9014"	"260级左戒指"	"10"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"16"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9015"	"280级左戒指"	"10"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"16"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9016"	"300级左戒指"	"10"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"16"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10001"	"1级右戒指"	"11"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"8"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10002"	"20级右戒指"	"11"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"8"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10003"	"40级右戒指"	"11"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"8"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10004"	"60级右戒指"	"11"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"8"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10005"	"80级右戒指"	"11"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"8"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10006"	"100级右戒指"	"11"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"8"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10007"	"120级右戒指"	"11"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"8"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10008"	"140级右戒指"	"11"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"8"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10009"	"160级右戒指"	"11"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"8"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10010"	"180级右戒指"	"11"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"8"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10011"	"200级右戒指"	"11"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"8"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10012"	"220级右戒指"	"11"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"8"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10013"	"240级右戒指"	"11"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"8"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10014"	"260级右戒指"	"11"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"8"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10015"	"280级右戒指"	"11"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"8"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10016"	"300级右戒指"	"11"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"8"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11001"	"1级饰品"	"12"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"2"	"150.000000"	"3.000000"	"18.000000"	"10"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11002"	"20级饰品"	"12"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"2"	"300.000000"	"3.000000"	"18.000000"	"10"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11003"	"40级饰品"	"12"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"2"	"450.000000"	"3.000000"	"18.000000"	"10"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11004"	"60级饰品"	"12"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"2"	"725.000000"	"3.000000"	"18.000000"	"10"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11005"	"80级饰品"	"12"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"2"	"1102.000000"	"3.000000"	"18.000000"	"10"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11006"	"100级饰品"	"12"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"2"	"1683.000000"	"3.000000"	"18.000000"	"10"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11007"	"120级饰品"	"12"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"2"	"2558.000000"	"3.000000"	"18.000000"	"10"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11008"	"140级饰品"	"12"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"2"	"3996.000000"	"3.000000"	"18.000000"	"10"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11009"	"160级饰品"	"12"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"2"	"6121.000000"	"3.000000"	"18.000000"	"10"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11010"	"180级饰品"	"12"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"2"	"9246.000000"	"3.000000"	"18.000000"	"10"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11011"	"200级饰品"	"12"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"2"	"12371.000000"	"3.000000"	"18.000000"	"10"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11012"	"220级饰品"	"12"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"2"	"15496.000000"	"3.000000"	"18.000000"	"10"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11013"	"240级饰品"	"12"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"2"	"18965.000000"	"3.000000"	"18.000000"	"10"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11014"	"260级饰品"	"12"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"2"	"22715.000000"	"3.000000"	"18.000000"	"10"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11015"	"280级饰品"	"12"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"10"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11016"	"300级饰品"	"12"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"10"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
