"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"1033423"	"80级金套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034200"	"120级蓝装平分"	"7"	""	""	""	"1"	"2,1034201,100"	"2,1034202,100"	"2,1034203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034201"	"120级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	""	""	"1,20421103,100"	"1,20421112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034202"	"120级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	""	""	""	""	""	""	"1,20421203,100"	"1,20421212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034203"	"120级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20421008,100"	"1,20421009,100"	"1,20421010,100"	"1,20421011,100"	""	""	""	""	""	""	""	""	""	""	"1,20421303,100"	"1,20421312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034300"	"120级紫装平分"	"7"	""	""	""	"1"	"2,1034301,100"	"2,1034302,100"	"2,1034303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034301"	"120级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	""	""	"1,20431103,100"	"1,20431112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034302"	"120级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	""	""	""	""	""	""	"1,20431203,100"	"1,20431212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034303"	"120级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20431008,100"	"1,20431009,100"	"1,20431010,100"	"1,20431011,100"	""	""	""	""	""	""	""	""	""	""	"1,20431303,100"	"1,20431312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034400"	"120级金装平分"	"7"	""	""	""	"1"	"2,1034401,100"	"2,1034402,100"	"2,1034403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034401"	"120级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	""	""	"1,20441103,100"	"1,20441112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034402"	"120级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	""	""	""	""	""	""	"1,20441203,100"	"1,20441212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034403"	"120级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20441008,100"	"1,20441009,100"	"1,20441010,100"	"1,20441011,100"	""	""	""	""	""	""	""	""	""	""	"1,20441303,100"	"1,20441312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034420"	"120级金套装平分"	"7"	""	""	""	"1"	"2,1034421,100"	"2,1034422,100"	"2,1034423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034421"	"120级金套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	""	""	"1,20442103,100"	"1,20442112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034422"	"120级金套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	""	""	""	""	""	""	"1,20442203,100"	"1,20442212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1034423"	"120级金套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20442008,100"	"1,20442009,100"	"1,20442010,100"	"1,20442011,100"	""	""	""	""	""	""	""	""	""	""	"1,20442303,100"	"1,20442312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035200"	"160级蓝装平分"	"7"	""	""	""	"1"	"2,1035201,100"	"2,1035202,100"	"2,1035203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035201"	"160级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	""	""	"1,20521103,100"	"1,20521112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035202"	"160级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	""	""	""	""	""	""	"1,20521203,100"	"1,20521212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035203"	"160级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20521008,100"	"1,20521009,100"	"1,20521010,100"	"1,20521011,100"	""	""	""	""	""	""	""	""	""	""	"1,20521303,100"	"1,20521312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035300"	"160级紫装平分"	"7"	""	""	""	"1"	"2,1035301,100"	"2,1035302,100"	"2,1035303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035301"	"160级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	""	""	"1,20531103,100"	"1,20531112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035302"	"160级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	""	""	""	""	""	""	"1,20531203,100"	"1,20531212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035303"	"160级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20531008,100"	"1,20531009,100"	"1,20531010,100"	"1,20531011,100"	""	""	""	""	""	""	""	""	""	""	"1,20531303,100"	"1,20531312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035400"	"160级金装平分"	"7"	""	""	""	"1"	"2,1035401,100"	"2,1035402,100"	"2,1035403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035401"	"160级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	""	""	"1,20541103,100"	"1,20541112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035402"	"160级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	""	""	""	""	""	""	"1,20541203,100"	"1,20541212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035403"	"160级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20541008,100"	"1,20541009,100"	"1,20541010,100"	"1,20541011,100"	""	""	""	""	""	""	""	""	""	""	"1,20541303,100"	"1,20541312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035420"	"160级金套装平分"	"7"	""	""	""	"1"	"2,1035421,100"	"2,1035422,100"	"2,1035423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035421"	"160级金套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	""	""	"1,20542103,100"	"1,20542112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035422"	"160级金套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	""	""	""	""	""	""	"1,20542203,100"	"1,20542212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1035423"	"160级金套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20542008,100"	"1,20542009,100"	"1,20542010,100"	"1,20542011,100"	""	""	""	""	""	""	""	""	""	""	"1,20542303,100"	"1,20542312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036200"	"200级蓝装平分"	"7"	""	""	""	"1"	"2,1036201,100"	"2,1036202,100"	"2,1036203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036201"	"200级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	""	""	"1,20621103,100"	"1,20621112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036202"	"200级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	""	""	""	""	""	""	"1,20621203,100"	"1,20621212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036203"	"200级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20621008,100"	"1,20621009,100"	"1,20621010,100"	"1,20621011,100"	""	""	""	""	""	""	""	""	""	""	"1,20621303,100"	"1,20621312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036300"	"200级紫装平分"	"7"	""	""	""	"1"	"2,1036301,100"	"2,1036302,100"	"2,1036303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036301"	"200级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	""	""	"1,20631103,100"	"1,20631112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036302"	"200级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	""	""	""	""	""	""	"1,20631203,100"	"1,20631212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036303"	"200级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20631008,100"	"1,20631009,100"	"1,20631010,100"	"1,20631011,100"	""	""	""	""	""	""	""	""	""	""	"1,20631303,100"	"1,20631312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036400"	"200级金装平分"	"7"	""	""	""	"1"	"2,1036401,100"	"2,1036402,100"	"2,1036403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036401"	"200级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	""	""	"1,20641103,100"	"1,20641112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036402"	"200级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	""	""	""	""	""	""	"1,20641203,100"	"1,20641212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036403"	"200级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20641008,100"	"1,20641009,100"	"1,20641010,100"	"1,20641011,100"	""	""	""	""	""	""	""	""	""	""	"1,20641303,100"	"1,20641312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036420"	"200级金套装平分"	"7"	""	""	""	"1"	"2,1036421,100"	"2,1036422,100"	"2,1036423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036421"	"200级金套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	"1,20642103,100"	"1,20642112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036422"	"200级金套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	""	""	"1,20642203,100"	"1,20642212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036423"	"200级金套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	""	""	""	""	""	""	"1,20642303,100"	"1,20642312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036500"	"200级橙装平分"	"7"	""	""	""	"1"	"2,1036501,100"	"2,1036502,100"	"2,1036503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036501"	"200级橙装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	""	""	"1,20651103,100"	"1,20651112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036502"	"200级橙装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	""	""	""	""	""	""	"1,20651203,100"	"1,20651212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036503"	"200级橙装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20651008,100"	"1,20651009,100"	"1,20651010,100"	"1,20651011,100"	""	""	""	""	""	""	""	""	""	""	"1,20651303,100"	"1,20651312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036520"	"200级橙套装平分"	"7"	""	""	""	"1"	"2,1036521,100"	"2,1036522,100"	"2,1036523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036521"	"200级橙套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	"1,20642103,100"	"1,20642112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036522"	"200级橙套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	""	""	"1,20642203,100"	"1,20642212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1036523"	"200级橙套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20642008,100"	"1,20642009,100"	"1,20642010,100"	"1,20642011,100"	""	""	""	""	""	""	""	""	""	""	"1,20642303,100"	"1,20642312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037200"	"240级蓝装平分"	"7"	""	""	""	"1"	"2,1037201,100"	"2,1037202,100"	"2,1037203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037201"	"240级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	""	""	"1,20721103,100"	"1,20721112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037202"	"240级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	""	""	""	""	""	""	"1,20721203,100"	"1,20721212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037203"	"240级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20721008,100"	"1,20721009,100"	"1,20721010,100"	"1,20721011,100"	""	""	""	""	""	""	""	""	""	""	"1,20721303,100"	"1,20721312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037300"	"240级紫装平分"	"7"	""	""	""	"1"	"2,1037301,100"	"2,1037302,100"	"2,1037303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037301"	"240级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	""	""	"1,20731103,100"	"1,20731112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037302"	"240级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	""	""	""	""	""	""	"1,20731203,100"	"1,20731212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037303"	"240级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20731008,100"	"1,20731009,100"	"1,20731010,100"	"1,20731011,100"	""	""	""	""	""	""	""	""	""	""	"1,20731303,100"	"1,20731312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037400"	"240级金装平分"	"7"	""	""	""	"1"	"2,1037401,100"	"2,1037402,100"	"2,1037403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037401"	"240级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	""	""	"1,20741103,100"	"1,20741112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037402"	"240级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	""	""	""	""	""	""	"1,20741203,100"	"1,20741212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037403"	"240级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20741008,100"	"1,20741009,100"	"1,20741010,100"	"1,20741011,100"	""	""	""	""	""	""	""	""	""	""	"1,20741303,100"	"1,20741312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037500"	"240级橙装平分"	"7"	""	""	""	"1"	"2,1037501,100"	"2,1037502,100"	"2,1037503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037501"	"240级橙装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	""	""	"1,20751103,100"	"1,20751112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037502"	"240级橙装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	""	""	""	""	""	""	"1,20751203,100"	"1,20751212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037503"	"240级橙装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20751008,100"	"1,20751009,100"	"1,20751010,100"	"1,20751011,100"	""	""	""	""	""	""	""	""	""	""	"1,20751303,100"	"1,20751312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037520"	"240级橙套装平分"	"7"	""	""	""	"1"	"2,1037521,100"	"2,1037522,100"	"2,1037523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037521"	"240级橙套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	""	""	"1,20752103,100"	"1,20752112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037522"	"240级橙套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	""	""	""	""	""	""	"1,20752203,100"	"1,20752212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1037523"	"240级橙套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20752008,100"	"1,20752009,100"	"1,20752010,100"	"1,20752011,100"	""	""	""	""	""	""	""	""	""	""	"1,20752303,100"	"1,20752312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038200"	"280级蓝装平分"	"7"	""	""	""	"1"	"2,1038201,100"	"2,1038202,100"	"2,1038203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038201"	"280级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	""	""	"1,20821103,100"	"1,20821112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038202"	"280级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	""	""	""	""	""	""	"1,20821203,100"	"1,20821212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038203"	"280级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	""	""	""	""	""	""	""	""	""	""	"1,20821303,100"	"1,20821312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038300"	"280级紫装平分"	"7"	""	""	""	"1"	"2,1038301,100"	"2,1038302,100"	"2,1038303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038301"	"280级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	""	""	"1,20831103,100"	"1,20831112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038302"	"280级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	""	""	""	""	""	""	"1,20831203,100"	"1,20831212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038303"	"280级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	""	""	""	""	""	""	""	""	""	""	"1,20831303,100"	"1,20831312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038400"	"280级金装平分"	"7"	""	""	""	"1"	"2,1038401,100"	"2,1038402,100"	"2,1038403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038401"	"280级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	""	""	"1,20841103,100"	"1,20841112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
