"模板ID"	"升星等级"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	"升星几率"	"元宝数量"	"道具1"	"道具数量"	"道具2"	"道具数量"	"铜币数量"	"回收经验"	"返还铜币"	"返还道具1"	"返还数量"	"返还道具2"	"返还数量"	"返还道具3"	"返还数量"	
"73000100"	"0"	"1"	"11126.000000"	"12"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000101"	"1"	"1"	"13148.000000"	"12"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000102"	"2"	"1"	"15171.000000"	"12"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000103"	"3"	"1"	"17194.000000"	"12"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000104"	"4"	"1"	"19217.000000"	"12"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000105"	"5"	"1"	"21240.000000"	"12"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000106"	"6"	"1"	"24275.000000"	"12"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000107"	"7"	"1"	"27309.000000"	"12"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000108"	"8"	"1"	"30343.000000"	"12"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000109"	"9"	"1"	"33378.000000"	"12"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000110"	"10"	"1"	"36412.000000"	"12"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000111"	"11"	"1"	"41470.000000"	"12"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000112"	"12"	"1"	"46527.000000"	"12"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000113"	"13"	"1"	"51584.000000"	"12"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000114"	"14"	"1"	"56642.000000"	"12"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000115"	"15"	"1"	"61699.000000"	"12"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000200"	"0"	"0"	"333784.000000"	"14"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000201"	"1"	"0"	"394472.000000"	"14"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000202"	"2"	"0"	"455160.000000"	"14"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000203"	"3"	"0"	"515848.000000"	"14"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000204"	"4"	"0"	"576536.000000"	"14"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000205"	"5"	"0"	"637224.000000"	"14"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000206"	"6"	"0"	"728256.000000"	"14"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000207"	"7"	"0"	"819288.000000"	"14"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000208"	"8"	"0"	"910320.000000"	"14"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000209"	"9"	"0"	"1001352.000000"	"14"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000210"	"10"	"0"	"1092384.000000"	"14"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000211"	"11"	"0"	"1244104.000000"	"14"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000212"	"12"	"0"	"1395824.000000"	"14"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000213"	"13"	"0"	"1547544.000000"	"14"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000214"	"14"	"0"	"1699264.000000"	"14"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000215"	"15"	"0"	"1850984.000000"	"14"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000300"	"0"	"2"	"16689.000000"	"18"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000301"	"1"	"2"	"19723.000000"	"18"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000302"	"2"	"2"	"22757.000000"	"18"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000303"	"3"	"2"	"25792.000000"	"18"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000304"	"4"	"2"	"28826.000000"	"18"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000305"	"5"	"2"	"31861.000000"	"18"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000306"	"6"	"2"	"36412.000000"	"18"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000307"	"7"	"2"	"40964.000000"	"18"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000308"	"8"	"2"	"45515.000000"	"18"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000309"	"9"	"2"	"50067.000000"	"18"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000310"	"10"	"2"	"54619.000000"	"18"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000311"	"11"	"2"	"62205.000000"	"18"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000312"	"12"	"2"	"69791.000000"	"18"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000313"	"13"	"2"	"77377.000000"	"18"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000314"	"14"	"2"	"84963.000000"	"18"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000315"	"15"	"2"	"92549.000000"	"18"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000400"	"0"	"0"	"333784.000000"	"16"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000401"	"1"	"0"	"394472.000000"	"16"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000402"	"2"	"0"	"455160.000000"	"16"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000403"	"3"	"0"	"515848.000000"	"16"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000404"	"4"	"0"	"576536.000000"	"16"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000405"	"5"	"0"	"637224.000000"	"16"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000406"	"6"	"0"	"728256.000000"	"16"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000407"	"7"	"0"	"819288.000000"	"16"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000408"	"8"	"0"	"910320.000000"	"16"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000409"	"9"	"0"	"1001352.000000"	"16"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000410"	"10"	"0"	"1092384.000000"	"16"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000411"	"11"	"0"	"1244104.000000"	"16"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000412"	"12"	"0"	"1395824.000000"	"16"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000413"	"13"	"0"	"1547544.000000"	"16"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000414"	"14"	"0"	"1699264.000000"	"16"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000415"	"15"	"0"	"1850984.000000"	"16"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000500"	"0"	"0"	"333784.000000"	"8"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000501"	"1"	"0"	"394472.000000"	"8"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000502"	"2"	"0"	"455160.000000"	"8"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000503"	"3"	"0"	"515848.000000"	"8"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000504"	"4"	"0"	"576536.000000"	"8"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000505"	"5"	"0"	"637224.000000"	"8"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000506"	"6"	"0"	"728256.000000"	"8"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000507"	"7"	"0"	"819288.000000"	"8"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000508"	"8"	"0"	"910320.000000"	"8"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000509"	"9"	"0"	"1001352.000000"	"8"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000510"	"10"	"0"	"1092384.000000"	"8"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000511"	"11"	"0"	"1244104.000000"	"8"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000512"	"12"	"0"	"1395824.000000"	"8"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000513"	"13"	"0"	"1547544.000000"	"8"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000514"	"14"	"0"	"1699264.000000"	"8"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000515"	"15"	"0"	"1850984.000000"	"8"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000600"	"0"	"2"	"16689.000000"	"14"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000601"	"1"	"2"	"19723.000000"	"14"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000602"	"2"	"2"	"22757.000000"	"14"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000603"	"3"	"2"	"25792.000000"	"14"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000604"	"4"	"2"	"28826.000000"	"14"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000605"	"5"	"2"	"31861.000000"	"14"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000606"	"6"	"2"	"36412.000000"	"14"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000607"	"7"	"2"	"40964.000000"	"14"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000608"	"8"	"2"	"45515.000000"	"14"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000609"	"9"	"2"	"50067.000000"	"14"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000610"	"10"	"2"	"54619.000000"	"14"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000611"	"11"	"2"	"62205.000000"	"14"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000612"	"12"	"2"	"69791.000000"	"14"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000613"	"13"	"2"	"77377.000000"	"14"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000614"	"14"	"2"	"84963.000000"	"14"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000615"	"15"	"2"	"92549.000000"	"14"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000700"	"0"	"1"	"11126.000000"	"10"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000701"	"1"	"1"	"13148.000000"	"10"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000702"	"2"	"1"	"15171.000000"	"10"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000703"	"3"	"1"	"17194.000000"	"10"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000704"	"4"	"1"	"19217.000000"	"10"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000705"	"5"	"1"	"21240.000000"	"10"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000706"	"6"	"1"	"24275.000000"	"10"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000707"	"7"	"1"	"27309.000000"	"10"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000708"	"8"	"1"	"30343.000000"	"10"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000709"	"9"	"1"	"33378.000000"	"10"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000710"	"10"	"1"	"36412.000000"	"10"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000711"	"11"	"1"	"41470.000000"	"10"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000712"	"12"	"1"	"46527.000000"	"10"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000713"	"13"	"1"	"51584.000000"	"10"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000714"	"14"	"1"	"56642.000000"	"10"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000715"	"15"	"1"	"61699.000000"	"10"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000800"	"0"	"0"	"333784.000000"	"12"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000801"	"1"	"0"	"394472.000000"	"12"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000802"	"2"	"0"	"455160.000000"	"12"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000803"	"3"	"0"	"515848.000000"	"12"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000804"	"4"	"0"	"576536.000000"	"12"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000805"	"5"	"0"	"637224.000000"	"12"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000806"	"6"	"0"	"728256.000000"	"12"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000807"	"7"	"0"	"819288.000000"	"12"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
"73000808"	"8"	"0"	"910320.000000"	"12"	"4550.000000"	"0.550000"	"641"	"100040"	"313"	"-1"	"-1"	"302400"	"10"	"604800"	"100039"	"937"	"100040"	"450"	""	""	
"73000809"	"9"	"0"	"1001352.000000"	"12"	"5005.000000"	"0.500000"	"938"	"100040"	"375"	"-1"	"-1"	"336000"	"10"	"756000"	"100039"	"937"	"100040"	"700"	""	""	
"73000810"	"10"	"0"	"1092384.000000"	"12"	"5460.000000"	"0.500000"	"1500"	"100041"	"100"	"-1"	"-1"	"369600"	"10"	"924000"	"100039"	"937"	"100040"	"1000"	""	""	
"73000811"	"11"	"0"	"1244104.000000"	"12"	"6219.000000"	"0.500000"	"2157"	"100041"	"125"	"-1"	"-1"	"403200"	"10"	"1108800"	"100039"	"937"	"100040"	"1000"	"100041"	"100"	
"73000812"	"12"	"0"	"1395824.000000"	"12"	"6978.000000"	"0.500000"	"3150"	"100041"	"150"	"-1"	"-1"	"436800"	"10"	"1310400"	"100039"	"937"	"100040"	"1000"	"100041"	"225"	
"73000813"	"13"	"0"	"1547544.000000"	"12"	"7736.000000"	"0.500000"	"4463"	"100041"	"175"	"-1"	"-1"	"470400"	"10"	"1528800"	"100039"	"937"	"100040"	"1000"	"100041"	"375"	
"73000814"	"14"	"0"	"1699264.000000"	"12"	"8495.000000"	"0.500000"	"6600"	"100041"	"200"	"-1"	"-1"	"504000"	"10"	"1764000"	"100039"	"937"	"100040"	"1000"	"100041"	"550"	
"73000815"	"15"	"0"	"1850984.000000"	"12"	"9253.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"10"	"2016000"	"100039"	"937"	"100040"	"1000"	"100041"	"750"	
"73000900"	"0"	"1"	"11126.000000"	"18"	"1668.000000"	"1.000000"	"0"	"100039"	"125"	"-1"	"-1"	"33600"	"10"	"0"	""	""	""	""	""	""	
"73000901"	"1"	"1"	"13148.000000"	"18"	"1971.000000"	"1.000000"	"0"	"100039"	"250"	"-1"	"-1"	"67200"	"10"	"16800"	"100039"	"62"	""	""	""	""	
"73000902"	"2"	"1"	"15171.000000"	"18"	"2274.000000"	"0.900000"	"42"	"100039"	"375"	"-1"	"-1"	"100800"	"10"	"50400"	"100039"	"187"	""	""	""	""	
"73000903"	"3"	"1"	"17194.000000"	"18"	"2578.000000"	"0.800000"	"125"	"100039"	"500"	"-1"	"-1"	"134400"	"10"	"100800"	"100039"	"375"	""	""	""	""	
"73000904"	"4"	"1"	"19217.000000"	"18"	"2881.000000"	"0.750000"	"209"	"100039"	"625"	"-1"	"-1"	"168000"	"10"	"168000"	"100039"	"625"	""	""	""	""	
"73000905"	"5"	"1"	"21240.000000"	"18"	"3185.000000"	"0.700000"	"134"	"100040"	"125"	"-1"	"-1"	"201600"	"10"	"252000"	"100039"	"937"	""	""	""	""	
"73000906"	"6"	"1"	"24275.000000"	"18"	"3640.000000"	"0.650000"	"254"	"100040"	"188"	"-1"	"-1"	"235200"	"10"	"352800"	"100039"	"937"	"100040"	"100"	""	""	
"73000907"	"7"	"1"	"27309.000000"	"18"	"4095.000000"	"0.600000"	"417"	"100040"	"250"	"-1"	"-1"	"268800"	"10"	"470400"	"100039"	"937"	"100040"	"250"	""	""	
