"id，1000开始为怪物随机技能；40000和70000开始为龙的触发性技能；80000开始为装备魂链占用"	"效果名称"	"效果图标"	"描述"	"触发时机0=施法时1=攻击结算时2=受击结算时3=攻击结算前4=攻击结算后5=受击结算前6=受击结算后--begin以下作为攻击者触发7=击中目标时8=目标格档时9=目标闪避时10=暴击时--end--begin以下作为受击者触发11=被击中时12=格档时13=闪避时14=被暴击时---end15=击杀目标时16=被击杀时17=计算击退时(仅用于击退)18=每秒"	"触发的效果类型"	"条件判断脚本名称"	"触发的效果类型索引(不填,程序用)"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"条件:内置cd(毫秒)0=无cd"	"条件:触发几率(毫秒)1=100%"	"条件:目标生命值0=值1=百分比(1=100%)负数=无条件"	"条件:目标生命值"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"条件:触发几率(毫秒)1=100%等级修正"	"同技能允许触发次数(小等于0表示不限)"	"战斗力"	"在触发器所有者身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"特殊的表现txt的使用方式0.不使用特殊表现1.基于宠物播放2.基于坐骑播放"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	
"26003002"	"天命手环-附带火抗"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26003002"	""	"26003002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26003003"	"天命手环-附带土抗"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26003003"	""	"26003003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26004001"	"神机盒-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26004001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26004002"	"神机盒-增加伤害"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition26004002"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26004003"	"神机盒-附带dot"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26004003"	""	"26004003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26005001"	"混元拂尘-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26005001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26005002"	"混元拂尘-附带dot"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26005002"	""	"26005002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26005003"	"混元拂尘-减速更多"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26005003"	""	"10020870"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26006001"	"风火轮-增加伤害"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition26006001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26006002"	"风火轮-附带眩晕"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26006002"	""	"10010500"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26006003"	"风火轮-附带吸血"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"recover"	"CombatTriggerCondition26006003"	""	"4"	""	""	""	""	""	"0.050000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26007001"	"炎霄剑-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26007001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26007002"	"炎霄剑-增加伤害"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition26007002"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26007003"	"炎霄剑-附带吸血"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"recover"	"CombatTriggerCondition26007003"	""	"4"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26008001"	"天罡五雷盾-反弹效果增加"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26008001"	""	"26008001"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26008002"	"天罡五雷盾-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26008002"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26008003"	"天罡五雷盾-附带回血"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26008003"	""	"26008003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26009001"	"天清玉瓶-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26009001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26009002"	"天清玉瓶-增加恢复量"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26009002"	""	"26009002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26009003"	"天清玉瓶-增加防御"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26009003"	""	"26009003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26010001"	"无影刺-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26010001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26010002"	"无影刺-增加伤害"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition26010002"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26010003"	"无影刺-附带减速"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26010003"	""	"26010003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26011001"	"遮天钟-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26011001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26011002"	"遮天钟-恢复生命"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26011002"	""	"26011002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26011003"	"遮天钟-免疫眩晕"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26011003"	""	"26011003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26012001"	"山河图-增加闪避"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26012001"	""	"26012001"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26012002"	"山河图-增加持续时间"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26012002"	""	"26012002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26012003"	"山河图-增加命中"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26012003"	""	"26012003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26013001"	"封魔之刃-手里剑-减少cd"	""	""	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26013001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26013002"	"封魔之刃-手里剑-增加dot25%伤害"	""	""	"3"	"castaura_on_target"	"CombatTriggerCondition26013002"	""	"26013002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26013003"	"封魔之刃-手里剑-目标10%减速"	""	""	"3"	"castaura_on_target"	"CombatTriggerCondition26013003"	""	"26013003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26014001"	"夺魄-镰刀-减少cd"	""	""	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26014001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26014002"	"夺魄-镰刀-1.5倍伤害"	""	""	"3"	"casteramplifydamage"	"CombatTriggerCondition26014002"	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26014003"	"夺魄-镰刀-1秒眩晕"	""	""	"3"	"castaura_on_target"	"CombatTriggerCondition26014003"	""	"26014003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26015001"	"传国玉玺-玉玺-80%减防"	""	""	"3"	"castaura_on_target"	"CombatTriggerCondition26015001"	""	"26015001"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26015002"	"传国玉玺-玉玺-2倍伤害"	""	""	"3"	"casteramplifydamage"	"CombatTriggerCondition26015002"	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26015003"	"传国玉玺-玉玺-3秒50%减速"	""	""	"3"	"castaura_on_target"	"CombatTriggerCondition26015003"	""	"26015003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"27000000"	"神兽守护效果1：吸收伤害表现1"	""	"吸收伤害的5%"	"5"	"castaura_on_self"	""	""	"27000100"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000001"	"神兽守护效果1：吸收伤害表现2"	""	"吸收伤害的10%"	"5"	"castaura_on_self"	""	""	"27000101"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000002"	"神兽守护效果1：吸收伤害表现3"	""	"吸收伤害的15%"	"5"	"castaura_on_self"	""	""	"27000102"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000003"	"神兽守护效果1：吸收伤害表现4"	""	"吸收伤害的20%"	"5"	"castaura_on_self"	""	""	"27000103"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000004"	"神兽守护效果1：吸收伤害表现5"	""	"吸收伤害的25%"	"5"	"castaura_on_self"	""	""	"27000104"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000005"	"神兽守护效果1：吸收伤害表现6"	""	"吸收伤害的30%"	"5"	"castaura_on_self"	""	""	"27000105"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000006"	"神兽守护效果1：吸收伤害表现7"	""	"吸收伤害的35%"	"5"	"castaura_on_self"	""	""	"27000106"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000007"	"神兽守护效果1：吸收伤害表现8"	""	"吸收伤害的40%"	"5"	"castaura_on_self"	""	""	"27000107"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000008"	"神兽守护效果1：吸收伤害表现9"	""	"吸收伤害的45%"	"5"	"castaura_on_self"	""	""	"27000108"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000009"	"神兽守护效果1：吸收伤害表现10"	""	"吸收伤害的50%"	"5"	"castaura_on_self"	""	""	"27000109"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000100"	"神兽守护效果1：吸收伤害1"	""	"吸收伤害的5%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.050000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27000101"	"神兽守护效果1：吸收伤害2"	""	"吸收伤害的10%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000102"	"神兽守护效果1：吸收伤害3"	""	"吸收伤害的15%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.150000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000103"	"神兽守护效果1：吸收伤害4"	""	"吸收伤害的20%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000104"	"神兽守护效果1：吸收伤害5"	""	"吸收伤害的25%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000105"	"神兽守护效果1：吸收伤害6"	""	"吸收伤害的30%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000106"	"神兽守护效果1：吸收伤害7"	""	"吸收伤害的35%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.350000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000107"	"神兽守护效果1：吸收伤害8"	""	"吸收伤害的40%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.400000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000108"	"神兽守护效果1：吸收伤害9"	""	"吸收伤害的45%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.450000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27000109"	"神兽守护效果1：吸收伤害10"	""	"吸收伤害的50%"	"5"	"absorbdamage"	""	""	"1"	""	""	""	""	""	"0.500000"	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_xishou_active.act.txt"	""	""	""	
"27001000"	"神兽守护效果2：火系伤害减免表现1"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001100"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001001"	"神兽守护效果2：火系伤害减免表现2"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001101"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001002"	"神兽守护效果2：火系伤害减免表现3"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001102"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001003"	"神兽守护效果2：火系伤害减免表现4"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001103"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001004"	"神兽守护效果2：火系伤害减免表现5"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001104"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001005"	"神兽守护效果2：火系伤害减免表现6"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001105"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001006"	"神兽守护效果2：火系伤害减免表现7"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001106"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001007"	"神兽守护效果2：火系伤害减免表现8"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001107"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001008"	"神兽守护效果2：火系伤害减免表现9"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001108"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001009"	"神兽守护效果2：火系伤害减免表现10"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27001109"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27001100"	"神兽守护效果2：火系伤害减免1"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001101"	"神兽守护效果2：火系伤害减免2"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.150000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001102"	"神兽守护效果2：火系伤害减免3"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001103"	"神兽守护效果2：火系伤害减免4"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001104"	"神兽守护效果2：火系伤害减免5"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001105"	"神兽守护效果2：火系伤害减免6"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001106"	"神兽守护效果2：火系伤害减免7"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001107"	"神兽守护效果2：火系伤害减免8"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001108"	"神兽守护效果2：火系伤害减免9"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27001109"	"神兽守护效果2：火系伤害减免10"	""	"减少对应属性伤害10%"	"11"	"reduce_damage"	""	""	"1"	""	""	""	""	""	"0.250000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_huokang_active.act.txt"	""	""	""	
"27002000"	"神兽守护效果3：土系伤害减免表现1"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27002100"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27002001"	"神兽守护效果3：土系伤害减免表现2"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27002101"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
"27002002"	"神兽守护效果3：土系伤害减免表现3"	""	"减少对应属性伤害10%"	"11"	"castaura_on_self"	""	""	"27002102"	""	""	""	""	""	""	""	""	""	""	""	"10000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"buff_ss_test.act.txt"	""	""	""	
