"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"1000184"	"华山论剑机器人184"	"孙丹丽"	"0"	"81"	"304"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000185"	"华山论剑机器人185"	"袁秋紫"	"0"	"81"	"305"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000186"	"华山论剑机器人186"	"韩鑫鑫"	"0"	"81"	"306"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000187"	"华山论剑机器人187"	"吴兰健"	"0"	"81"	"307"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000188"	"华山论剑机器人188"	"余静"	"0"	"81"	"308"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000189"	"华山论剑机器人189"	"曹正"	"0"	"81"	"309"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000190"	"华山论剑机器人190"	"袁海锦"	"0"	"81"	"310"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000191"	"华山论剑机器人191"	"任仁荣"	"0"	"81"	"311"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000192"	"华山论剑机器人192"	"杨花"	"0"	"81"	"312"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000193"	"华山论剑机器人193"	"杨亮"	"0"	"81"	"313"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000194"	"华山论剑机器人194"	"柳晓民"	"0"	"81"	"314"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000195"	"华山论剑机器人195"	"钱鑫"	"0"	"81"	"315"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000196"	"华山论剑机器人196"	"钱忠"	"0"	"81"	"316"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000197"	"华山论剑机器人197"	"史丹桥"	"0"	"81"	"317"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000198"	"华山论剑机器人198"	"朱裕"	"0"	"81"	"318"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000199"	"华山论剑机器人199"	"郑朋娟"	"0"	"81"	"319"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000200"	"华山论剑机器人200"	"陈鹏"	"0"	"81"	"320"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000201"	"华山论剑机器人201"	"沈祥"	"0"	"80"	"301"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000202"	"华山论剑机器人202"	"王芬华"	"0"	"80"	"302"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000203"	"华山论剑机器人203"	"褚苹"	"0"	"80"	"303"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000204"	"华山论剑机器人204"	"云坚"	"0"	"80"	"304"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000205"	"华山论剑机器人205"	"云鹏"	"0"	"80"	"305"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000206"	"华山论剑机器人206"	"罗生"	"0"	"80"	"306"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000207"	"华山论剑机器人207"	"柳伦"	"0"	"80"	"307"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000208"	"华山论剑机器人208"	"袁军"	"0"	"80"	"308"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000209"	"华山论剑机器人209"	"王家艺"	"0"	"80"	"309"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000210"	"华山论剑机器人210"	"吕紫祥"	"0"	"80"	"310"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000211"	"华山论剑机器人211"	"曹大"	"0"	"80"	"311"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000212"	"华山论剑机器人212"	"严兰正"	"0"	"80"	"312"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000213"	"华山论剑机器人213"	"苏宏秋"	"0"	"80"	"313"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000214"	"华山论剑机器人214"	"张玲志"	"0"	"80"	"314"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000215"	"华山论剑机器人215"	"曹鹏海"	"0"	"80"	"315"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000216"	"华山论剑机器人216"	"苏太茹"	"0"	"80"	"316"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000217"	"华山论剑机器人217"	"余炎宇"	"0"	"80"	"317"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000218"	"华山论剑机器人218"	"王健家"	"0"	"80"	"318"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000219"	"华山论剑机器人219"	"韩燕华"	"0"	"80"	"319"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000220"	"华山论剑机器人220"	"云华海"	"0"	"80"	"320"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"4000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000221"	"华山论剑机器人221"	"褚妙玉"	"0"	"79"	"301"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"5000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000222"	"华山论剑机器人222"	"齐鹏"	"0"	"79"	"302"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"6000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"120"	"0"	"1"	"0"	"1"	"500002"	"4"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000223"	"华山论剑机器人223"	"朱祥春"	"0"	"79"	"303"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000224"	"华山论剑机器人224"	"俞智文"	"0"	"79"	"304"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"2000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"100"	"0"	"1"	"0"	"1"	"500001"	"2"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"1000225"	"华山论剑机器人225"	"钱磊泽"	"0"	"79"	"305"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"3000"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"110"	"0"	"1"	"0"	"1"	"500001"	"3"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
