"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"167"	"1"	"1"	"107"	"39,3700,1,0,1,83,83"	"40,3700,1,0,0,2498,2498"	"41,3800,1,0,2,125,125"	"42,3900,1,0,1,84,84"	"43,3900,1,0,0,2515,2515"	"44,4000,1,0,1,84,84"	"45,4100,1,0,8,126,126"	"46,4100,1,0,10,127,127"	"47,4200,1,0,1,85,85"	"48,4300,1,0,0,2543,2543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"168"	"1"	"1"	"108"	"49,4300,1,0,2,127,127"	"50,4400,1,0,1,85,85"	"51,4500,1,0,12,128,128"	"52,4600,1,0,14,128,128"	"53,4600,1,0,1,86,86"	"55,4700,1,0,0,2577,2577"	"56,4800,1,0,1,86,86"	"57,4800,1,0,18,129,129"	"58,4900,1,0,0,2593,2593"	"59,5000,1,0,2,130,130"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"169"	"1"	"1"	"109"	"60,5000,1,0,1,87,87"	"60,5100,1,0,16,131,131"	"61,5200,1,0,0,2616,2616"	"61,5200,1,0,1,87,87"	"62,5300,1,0,1,88,88"	"62,5400,1,0,0,2633,2633"	"63,5400,1,0,2,132,132"	"64,5500,1,0,1,88,88"	"64,5600,1,0,8,132,132"	"65,5600,1,0,10,133,133"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"170"	"1"	"1"	"110"	"65,5700,1,0,0,2661,2661"	"66,5800,1,0,1,89,89"	"66,5900,1,0,12,134,134"	"67,5900,1,0,14,134,134"	"68,6000,1,0,1,89,89"	"68,6100,1,0,0,2689,2689"	"69,6100,1,0,2,135,135"	"69,6200,1,0,1,90,90"	"70,6300,1,0,18,135,135"	"71,6300,1,0,0,2712,2712"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"171"	"1"	"2"	"201"	"71,6400,1,0,1,91,91"	"72,6500,1,0,16,136,136"	"72,6500,1,0,1,91,91"	"73,6600,1,0,0,2734,2734"	"73,6700,1,0,2,137,137"	"74,6800,1,0,1,92,92"	"75,6800,1,0,0,2751,2751"	"75,6900,1,0,1,92,92"	"76,7000,1,0,8,138,138"	"76,7000,1,0,10,138,138"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"172"	"1"	"2"	"202"	"77,7100,1,0,1,92,92"	"78,7200,1,0,0,2779,2779"	"78,7300,1,0,2,139,139"	"79,7300,1,0,1,93,93"	"79,7400,1,0,12,140,140"	"80,7500,1,0,14,140,140"	"80,7500,1,0,1,94,94"	"81,7600,1,0,0,2813,2813"	"81,7700,1,0,1,94,94"	"82,7700,1,0,18,141,141"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"173"	"1"	"2"	"203"	"82,7800,1,0,0,2830,2830"	"83,7900,1,0,2,142,142"	"83,8000,1,0,1,95,95"	"84,8000,1,0,16,142,142"	"84,8100,1,0,0,2852,2852"	"85,8200,1,0,1,95,95"	"85,8200,1,0,1,95,95"	"86,8300,1,0,0,2869,2869"	"86,8400,1,0,2,144,144"	"87,8500,1,0,1,96,96"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"174"	"1"	"2"	"204"	"87,8500,1,0,8,144,144"	"88,8600,1,0,10,145,145"	"88,8700,1,0,0,2897,2897"	"89,8700,1,0,1,97,97"	"89,8800,1,0,12,145,145"	"90,8900,1,0,14,146,146"	"90,9000,1,0,1,97,97"	"91,9000,1,0,0,2926,2926"	"91,9100,1,0,2,147,147"	"91,9200,1,0,1,98,98"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"175"	"1"	"2"	"205"	"92,9300,1,0,18,147,147"	"92,9300,1,0,0,2948,2948"	"93,9400,1,0,1,98,98"	"93,9500,1,0,16,148,148"	"94,9500,1,0,1,99,99"	"94,9600,1,0,0,2971,2971"	"95,9700,1,0,2,149,149"	"95,9800,1,0,1,99,99"	"95,9800,1,0,0,2987,2987"	"96,9900,1,0,1,100,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"176"	"1"	"2"	"206"	"96,10000,1,0,8,150,150"	"97,10000,1,0,10,150,150"	"97,10100,1,0,1,100,100"	"98,10200,1,0,0,3016,3016"	"98,10300,1,0,2,151,151"	"98,10300,1,0,1,101,101"	"99,10400,1,0,12,152,152"	"99,10500,1,0,14,152,152"	"100,10600,1,0,1,101,101"	"100,10600,1,0,0,3049,3049"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"177"	"1"	"2"	"207"	"101,10700,1,0,1,204,204"	"102,10800,1,0,0,6138,6138"	"102,10900,1,0,2,308,308"	"103,10900,1,0,1,206,206"	"104,11000,1,0,18,310,310"	"105,11100,1,0,16,311,311"	"105,11100,1,0,0,6251,6251"	"106,11200,1,0,1,209,209"	"107,11300,1,0,8,315,315"	"107,11400,1,0,1,211,211"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"178"	"1"	"2"	"208"	"108,11400,1,0,0,6341,6341"	"109,11500,1,0,2,318,318"	"109,11600,1,0,1,213,213"	"110,11700,1,0,10,320,320"	"111,11700,1,0,12,322,322"	"111,11800,1,0,0,6453,6453"	"112,11900,1,0,1,216,216"	"113,12000,1,0,14,325,325"	"113,12000,1,0,1,217,217"	"114,12100,1,0,0,6543,6543"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"179"	"1"	"2"	"209"	"114,12200,1,0,2,328,328"	"115,12300,1,0,1,220,220"	"116,12300,1,0,0,6611,6611"	"116,12400,1,0,1,221,221"	"117,12500,1,0,18,333,333"	"117,12500,1,0,16,334,334"	"118,12600,1,0,1,223,223"	"119,12700,1,0,0,6723,6723"	"119,12800,1,0,2,337,337"	"120,12800,1,0,1,226,226"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"180"	"1"	"2"	"210"	"120,12900,1,0,8,340,340"	"121,13000,1,0,0,6813,6813"	"121,13100,1,0,1,228,228"	"122,13100,1,0,10,343,343"	"122,13200,1,0,1,229,229"	"123,13300,1,0,0,6903,6903"	"124,13400,1,0,12,346,346"	"124,13400,1,0,14,347,347"	"125,13500,1,0,1,232,232"	"125,13600,1,0,2,350,350"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"181"	"1"	"3"	"301"	"126,14300,1,0,0,7016,7016"	"126,14400,1,0,1,235,235"	"127,14500,1,0,1,235,235"	"127,14600,1,0,0,7084,7084"	"128,14700,1,0,2,355,355"	"129,14700,1,0,1,238,238"	"129,14800,1,0,18,358,358"	"130,14900,1,0,16,359,359"	"130,15000,1,0,0,7196,7196"	"130,15100,1,0,1,241,241"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"182"	"1"	"3"	"302"	"131,15900,1,0,8,362,362"	"131,15900,1,0,1,242,242"	"132,16000,1,0,0,7286,7286"	"132,16100,1,0,2,365,365"	"133,16200,1,0,1,244,244"	"133,16300,1,0,10,368,368"	"134,16400,1,0,0,7376,7376"	"134,16400,1,0,1,247,247"	"134,16500,1,0,12,371,371"	"135,16600,1,0,14,372,372"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"183"	"1"	"3"	"303"	"135,17400,1,0,1,249,249"	"136,17500,1,0,0,7489,7489"	"136,17600,1,0,2,376,376"	"137,17700,1,0,1,251,251"	"137,17800,1,0,0,7556,7556"	"138,17900,1,0,1,253,253"	"138,18000,1,0,18,380,380"	"138,18100,1,0,16,381,381"	"139,18100,1,0,1,255,255"	"139,18200,1,0,0,7669,7669"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"184"	"1"	"3"	"304"	"140,19100,1,0,2,385,385"	"140,19200,1,0,1,257,257"	"141,19300,1,0,8,387,387"	"141,19400,1,0,0,7759,7759"	"141,19500,1,0,1,259,259"	"142,19600,1,0,10,390,390"	"142,19700,1,0,1,261,261"	"142,19700,1,0,0,7849,7849"	"143,19800,1,0,12,394,394"	"143,19900,1,0,14,395,395"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"185"	"1"	"3"	"305"	"143,20900,1,0,1,264,264"	"144,20900,1,0,2,397,397"	"144,21000,1,0,0,7961,7961"	"145,21100,1,0,1,266,266"	"145,21200,1,0,1,267,267"	"145,21300,1,0,0,8029,8029"	"146,21400,1,0,2,403,403"	"146,21500,1,0,1,269,269"	"147,21600,1,0,18,405,405"	"147,21700,1,0,16,406,406"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"186"	"1"	"3"	"306"	"147,22700,1,0,0,8142,8142"	"148,22800,1,0,1,272,272"	"148,22900,1,0,8,409,409"	"148,23000,1,0,1,274,274"	"149,23100,1,0,0,8232,8232"	"149,23200,1,0,2,413,413"	"150,23300,1,0,1,276,276"	"150,23400,1,0,10,415,415"	"150,23500,1,0,0,8322,8322"	"151,23600,1,0,1,278,278"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"187"	"1"	"3"	"307"	"151,24600,1,0,12,418,418"	"151,24700,1,0,14,419,419"	"151,24800,1,0,1,280,280"	"152,24900,1,0,0,8434,8434"	"152,25000,1,0,2,423,423"	"152,25100,1,0,1,283,283"	"153,25200,1,0,0,8502,8502"	"153,25300,1,0,1,284,284"	"153,25400,1,0,18,427,427"	"154,25500,1,0,16,428,428"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"188"	"1"	"3"	"308"	"154,26600,1,0,1,286,286"	"154,26700,1,0,0,8614,8614"	"155,26800,1,0,2,432,432"	"155,26900,1,0,1,289,289"	"155,27000,1,0,8,434,434"	"156,27100,1,0,0,8704,8704"	"156,27200,1,0,1,291,291"	"156,27300,1,0,10,437,437"	"157,27400,1,0,1,292,292"	"157,27500,1,0,0,8794,8794"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"189"	"1"	"3"	"309"	"157,28600,1,0,12,441,441"	"157,28800,1,0,14,442,442"	"158,28900,1,0,1,295,295"	"158,29000,1,0,2,444,444"	"158,29100,1,0,0,8907,8907"	"159,29200,1,0,1,298,298"	"159,29300,1,0,1,298,298"	"159,29400,1,0,0,8975,8975"	"160,29500,1,0,2,450,450"	"160,29700,1,0,1,301,301"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"190"	"1"	"3"	"310"	"160,30800,1,0,18,452,452"	"160,30900,1,0,16,453,453"	"161,31000,1,0,0,9087,9087"	"161,31100,1,0,1,304,304"	"161,31300,1,0,8,457,457"	"161,31400,1,0,1,305,305"	"162,31500,1,0,0,9177,9177"	"162,31600,1,0,2,460,460"	"162,31700,1,0,1,307,307"	"163,31800,1,0,10,462,462"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"191"	"1"	"4"	"401"	"163,33000,1,0,0,9267,9267"	"163,33100,1,0,1,310,310"	"163,33300,1,0,12,466,466"	"164,33400,1,0,14,467,467"	"164,33500,1,0,1,312,312"	"164,33600,1,0,0,9380,9380"	"164,33700,1,0,2,470,470"	"165,33900,1,0,1,314,314"	"165,34000,1,0,0,9447,9447"	"165,34100,1,0,1,316,316"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"192"	"1"	"4"	"402"	"165,35300,1,0,18,475,475"	"166,35500,1,0,16,476,476"	"166,35600,1,0,1,318,318"	"166,35700,1,0,0,9560,9560"	"166,35800,1,0,2,479,479"	"167,36000,1,0,1,320,320"	"167,36100,1,0,8,481,481"	"167,36200,1,0,0,9650,9650"	"168,36300,1,0,1,322,322"	"168,36500,1,0,10,485,485"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"193"	"1"	"4"	"403"	"168,37700,1,0,1,324,324"	"168,37900,1,0,0,9740,9740"	"169,38000,1,0,12,488,488"	"169,38100,1,0,1,326,326"	"169,38200,1,0,2,490,490"	"169,38400,1,0,14,491,491"	"170,38500,1,0,0,9852,9852"	"170,38600,1,0,1,329,329"	"170,38800,1,0,1,330,330"	"171,38900,1,0,0,9920,9920"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"194"	"1"	"4"	"404"	"171,40200,1,0,2,497,497"	"171,40300,1,0,1,332,332"	"171,40500,1,0,18,499,499"	"172,40600,1,0,16,501,501"	"172,40700,1,0,0,10033,10033"	"172,40900,1,0,1,335,335"	"173,41000,1,0,8,504,504"	"173,41100,1,0,1,337,337"	"173,41300,1,0,0,10123,10123"	"173,41400,1,0,2,507,507"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"195"	"1"	"4"	"405"	"174,42800,1,0,1,339,339"	"174,42900,1,0,10,510,510"	"174,43000,1,0,0,10213,10213"	"175,43200,1,0,1,341,341"	"175,43300,1,0,12,513,513"	"175,43500,1,0,14,514,514"	"175,43600,1,0,1,343,343"	"176,43700,1,0,0,10325,10325"	"176,43900,1,0,2,517,517"	"176,44000,1,0,1,346,346"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"196"	"1"	"4"	"406"	"177,45400,1,0,0,10393,10393"	"177,45600,1,0,1,347,347"	"177,45700,1,0,18,522,522"	"177,45800,1,0,16,523,523"	"178,46000,1,0,1,349,349"	"178,46100,1,0,0,10505,10505"	"178,46300,1,0,2,526,526"	"179,46400,1,0,1,352,352"	"179,46600,1,0,8,529,529"	"179,46700,1,0,0,10595,10595"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"197"	"1"	"4"	"407"	"180,48100,1,0,1,354,354"	"180,48300,1,0,10,532,532"	"180,48400,1,0,1,355,355"	"180,48600,1,0,0,10685,10685"	"180,48700,1,0,12,535,535"	"181,48900,1,0,1,358,358"	"181,49000,1,0,2,538,538"	"181,49200,1,0,14,539,539"	"181,49300,1,0,0,10798,10798"	"181,49500,1,0,1,361,361"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"198"	"1"	"4"	"408"	"182,50900,1,0,1,361,361"	"182,51100,1,0,0,10865,10865"	"182,51200,1,0,2,544,544"	"182,51400,1,0,1,364,364"	"182,51600,1,0,18,547,547"	"183,51700,1,0,16,548,548"	"183,51900,1,0,0,10978,10978"	"183,52000,1,0,1,367,367"	"183,52200,1,0,8,551,551"	"183,52300,1,0,1,368,368"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"199"	"1"	"4"	"409"	"184,53800,1,0,0,11068,11068"	"184,54000,1,0,2,555,555"	"184,54200,1,0,1,370,370"	"184,54300,1,0,10,557,557"	"184,54500,1,0,0,11158,11158"	"185,54600,1,0,1,373,373"	"185,54800,1,0,12,560,560"	"185,54900,1,0,14,561,561"	"185,55100,1,0,1,375,375"	"186,55200,1,0,0,11271,11271"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"200"	"1"	"4"	"410"	"186,56800,1,0,2,565,565"	"186,57000,1,0,1,377,377"	"186,57100,1,0,0,11338,11338"	"186,57300,1,0,1,379,379"	"187,57500,1,0,18,569,569"	"187,57600,1,0,16,570,570"	"187,57800,1,0,1,381,381"	"187,57900,1,0,0,11451,11451"	"188,58100,1,0,2,574,574"	"188,58300,1,0,1,383,383"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"201"	"1"	"5"	"501"	"188,59900,1,0,8,576,576"	"188,60000,1,0,0,11541,11541"	"188,60200,1,0,1,385,385"	"189,60400,1,0,10,579,579"	"189,60500,1,0,1,387,387"	"189,60700,1,0,0,11631,11631"	"189,60900,1,0,12,583,583"	"189,61000,1,0,1,389,389"	"190,61200,1,0,2,585,585"	"190,61400,1,0,14,586,586"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"202"	"1"	"5"	"502"	"190,63000,1,0,0,11743,11743"	"190,63200,1,0,1,392,392"	"191,63400,1,0,1,393,393"	"191,63500,1,0,0,11811,11811"	"191,63700,1,0,2,592,592"	"191,63900,1,0,1,395,395"	"192,64000,1,0,18,594,594"	"192,64200,1,0,16,595,595"	"192,64400,1,0,0,11923,11923"	"192,64500,1,0,1,398,398"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"203"	"1"	"5"	"503"	"192,66300,1,0,8,598,598"	"193,66400,1,0,1,400,400"	"193,66600,1,0,0,12014,12014"	"193,66800,1,0,2,602,602"	"193,66900,1,0,1,402,402"	"194,67100,1,0,10,604,604"	"194,67300,1,0,0,12104,12104"	"194,67500,1,0,1,404,404"	"194,67600,1,0,12,607,607"	"194,67800,1,0,14,609,609"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"204"	"1"	"5"	"504"	"195,69600,1,0,1,406,406"	"195,69700,1,0,0,12216,12216"	"195,69900,1,0,2,612,612"	"195,70100,1,0,1,409,409"	"196,70300,1,0,0,12284,12284"	"196,70500,1,0,1,410,410"	"196,70600,1,0,18,616,616"	"196,70800,1,0,16,618,618"	"197,71000,1,0,1,412,412"	"197,71200,1,0,0,12396,12396"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"205"	"1"	"5"	"505"	"197,73000,1,0,2,621,621"	"197,73100,1,0,1,415,415"	"198,73300,1,0,8,623,623"	"198,73500,1,0,0,12486,12486"	"198,73700,1,0,1,417,417"	"198,73900,1,0,10,627,627"	"198,74100,1,0,1,418,418"	"199,74200,1,0,0,12576,12576"	"199,74400,1,0,12,630,630"	"199,74600,1,0,1,421,421"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"206"	"1"	"5"	"506"	"199,76500,1,0,2,632,632"	"200,76600,1,0,14,633,633"	"200,76800,1,0,0,12689,12689"	"200,77000,1,0,1,424,424"	"200,77200,1,0,1,424,424"	"201,77400,1,0,0,12756,12756"	"201,77600,1,0,2,639,639"	"201,77800,1,0,1,427,427"	"201,77900,1,0,18,641,641"	"202,78100,1,0,16,642,642"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"207"	"1"	"5"	"507"	"202,80000,1,0,0,12869,12869"	"202,80200,1,0,1,430,430"	"202,80400,1,0,8,646,646"	"203,80600,1,0,1,431,431"	"203,80800,1,0,0,12959,12959"	"203,81000,1,0,2,649,649"	"203,81200,1,0,1,433,433"	"204,81400,1,0,10,651,651"	"204,81500,1,0,0,13049,13049"	"204,81700,1,0,1,436,436"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"208"	"1"	"5"	"508"	"204,83700,1,0,12,655,655"	"205,83900,1,0,14,656,656"	"205,84100,1,0,1,438,438"	"205,84300,1,0,0,13162,13162"	"205,84500,1,0,2,659,659"	"206,84700,1,0,1,440,440"	"206,84800,1,0,0,13229,13229"	"206,85000,1,0,1,442,442"	"206,85200,1,0,18,664,664"	"207,85400,1,0,16,665,665"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"209"	"1"	"5"	"509"	"207,87400,1,0,1,444,444"	"207,87600,1,0,0,13342,13342"	"207,87800,1,0,2,668,668"	"208,88000,1,0,1,446,446"	"208,88200,1,0,8,670,670"	"208,88400,1,0,0,13432,13432"	"208,88600,1,0,1,448,448"	"209,88800,1,0,10,674,674"	"209,89000,1,0,1,450,450"	"209,89200,1,0,0,13522,13522"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"210"	"1"	"5"	"510"	"209,91200,1,0,12,677,677"	"210,91400,1,0,1,452,452"	"210,91600,1,0,2,679,679"	"210,91900,1,0,14,681,681"	"210,92100,1,0,0,13634,13634"	"211,92300,1,0,1,455,455"	"211,92500,1,0,1,456,456"	"211,92700,1,0,0,13702,13702"	"212,92900,1,0,2,686,686"	"212,93100,1,0,1,458,458"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"211"	"1"	"6"	"601"	"212,95200,1,0,18,688,688"	"212,95400,1,0,16,690,690"	"213,95600,1,0,0,13814,13814"	"213,95800,1,0,1,461,461"	"213,96000,1,0,8,693,693"	"213,96200,1,0,1,463,463"	"214,96400,1,0,0,13904,13904"	"214,96600,1,0,2,696,696"	"214,96800,1,0,1,465,465"	"214,97000,1,0,10,699,699"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"212"	"1"	"6"	"602"	"215,99200,1,0,0,13995,13995"	"215,99400,1,0,1,467,467"	"215,99600,1,0,12,702,702"	"215,99800,1,0,14,703,703"	"216,100000,1,0,1,469,469"	"216,100200,1,0,0,14107,14107"	"216,100400,1,0,2,706,706"	"217,100600,1,0,1,472,472"	"217,100900,1,0,0,14175,14175"	"217,101100,1,0,1,473,473"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"213"	"1"	"6"	"603"	"217,103200,1,0,18,711,711"	"218,103500,1,0,16,712,712"	"218,103700,1,0,1,475,475"	"218,103900,1,0,0,14287,14287"	"218,104100,1,0,2,715,715"	"219,104300,1,0,1,478,478"	"219,104500,1,0,8,718,718"	"219,104800,1,0,0,14377,14377"	"220,105000,1,0,1,480,480"	"220,105200,1,0,10,721,721"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"214"	"1"	"6"	"604"	"220,107400,1,0,1,481,481"	"220,107600,1,0,0,14467,14467"	"221,107900,1,0,12,724,724"	"221,108100,1,0,1,484,484"	"221,108300,1,0,2,727,727"	"221,108500,1,0,14,728,728"	"222,108700,1,0,0,14580,14580"	"222,109000,1,0,1,487,487"	"222,109200,1,0,1,487,487"	"223,109400,1,0,0,14647,14647"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"215"	"1"	"6"	"605"	"223,111700,1,0,2,733,733"	"223,111900,1,0,1,490,490"	"223,112100,1,0,18,736,736"	"224,112300,1,0,16,737,737"	"224,112600,1,0,0,14760,14760"	"224,112800,1,0,1,493,493"	"225,113000,1,0,8,740,740"	"225,113300,1,0,1,494,494"	"225,113500,1,0,0,14850,14850"	"225,113700,1,0,2,744,744"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"216"	"1"	"6"	"606"	"226,116000,1,0,1,496,496"	"226,116200,1,0,10,746,746"	"226,116500,1,0,0,14940,14940"	"227,116700,1,0,1,499,499"	"227,116900,1,0,12,749,749"	"227,117200,1,0,14,750,750"	"227,117400,1,0,1,501,501"	"228,117600,1,0,0,15053,15053"	"228,117900,1,0,2,754,754"	"228,118100,1,0,1,503,503"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"217"	"1"	"6"	"607"	"229,120400,1,0,0,15120,15120"	"229,120700,1,0,1,505,505"	"229,120900,1,0,18,758,758"	"229,121100,1,0,16,759,759"	"230,121400,1,0,1,507,507"	"230,121600,1,0,0,15233,15233"	"230,121900,1,0,2,763,763"	"231,122100,1,0,1,509,509"	"231,122300,1,0,8,765,765"	"231,122600,1,0,0,15323,15323"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"218"	"1"	"6"	"608"	"231,125000,1,0,1,512,512"	"232,125200,1,0,10,768,768"	"232,125400,1,0,1,513,513"	"232,125700,1,0,0,15413,15413"	"233,125900,1,0,12,772,772"	"233,126200,1,0,1,515,515"	"233,126400,1,0,2,774,774"	"234,126600,1,0,14,775,775"	"234,126900,1,0,0,15525,15525"	"234,127100,1,0,1,518,518"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"219"	"1"	"6"	"609"	"234,129600,1,0,1,519,519"	"235,129800,1,0,0,15593,15593"	"235,130100,1,0,2,781,781"	"235,130300,1,0,1,521,521"	"236,130500,1,0,18,783,783"	"236,130800,1,0,16,784,784"	"236,131000,1,0,0,15705,15705"	"237,131300,1,0,1,524,524"	"237,131500,1,0,8,788,788"	"237,131800,1,0,1,526,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"220"	"1"	"6"	"610"	"237,134300,1,0,0,15795,15795"	"238,134500,1,0,2,791,791"	"238,134800,1,0,1,528,528"	"238,135000,1,0,10,793,793"	"239,135300,1,0,0,15885,15885"	"239,135500,1,0,1,530,530"	"239,135800,1,0,12,797,797"	"240,136000,1,0,14,798,798"	"240,136300,1,0,1,533,533"	"240,136500,1,0,0,15998,15998"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"221"	"1"	"7"	"701"	"240,139000,1,0,2,801,801"	"241,139300,1,0,1,535,535"	"241,139500,1,0,0,16066,16066"	"241,139800,1,0,1,536,536"	"242,140100,1,0,18,806,806"	"242,140300,1,0,16,807,807"	"242,140600,1,0,1,539,539"	"243,140800,1,0,0,16178,16178"	"243,141100,1,0,2,810,810"	"243,141300,1,0,1,541,541"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"222"	"1"	"7"	"702"	"244,143900,1,0,8,812,812"	"244,144200,1,0,0,16268,16268"	"244,144400,1,0,1,543,543"	"244,144700,1,0,10,816,816"	"245,144900,1,0,1,545,545"	"245,145200,1,0,0,16358,16358"	"245,145500,1,0,12,819,819"	"246,145700,1,0,1,547,547"	"246,146000,1,0,2,821,821"	"246,146200,1,0,14,822,822"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"223"	"1"	"7"	"703"	"247,148900,1,0,0,16471,16471"	"247,149100,1,0,1,550,550"	"247,149400,1,0,1,551,551"	"248,149600,1,0,0,16538,16538"	"248,149900,1,0,2,828,828"	"248,150200,1,0,1,553,553"	"249,150400,1,0,18,830,830"	"249,150700,1,0,16,831,831"	"249,151000,1,0,0,16651,16651"	"249,151200,1,0,1,556,556"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"224"	"1"	"7"	"704"	"250,153900,1,0,8,835,835"	"250,154200,1,0,1,557,557"	"250,154400,1,0,0,16741,16741"	"250,154700,1,0,2,838,838"	"251,155000,1,0,1,560,560"	"251,155200,1,0,10,840,840"	"251,155500,1,0,0,16831,16831"	"251,155800,1,0,1,562,562"	"252,156000,1,0,12,844,844"	"252,156300,1,0,14,845,845"	""	""	""	""	""	""	""	""	""	""	""	""	""	
